Area,Year,Cost of a healthy diet (PPP dollar per person per day),Coefficient of human inequality,Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,2.a.1 Agriculture share of Government Expenditure,2.a.1 Agriculture value added share of GDP,6.4.1 Water Use Efficiency (Agriculture (ISIC4 A01 A0210 A0322)),6.4.1 Water Use Efficiency (Industries),"Gross domestic product per capita, PPP, (constant 2017 international $)",Per capita food supply variability (kcal/cap/day),Value of food imports in total merchandise exports (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Percentage of the population unable to afford a healthy diet (percent)
Chile,2017,3.053,15.41184067,0.854,7.50019,33.01233,5.723002,1.5,3.98,0.23,40.08,24546.9,19.0,7.0,3.1,4.6
Chile,2018,3.18,15.46759547,0.856,7.50019,33.01233,5.8902664,1.38,3.93,0.24,39.14,25072.0,12.0,8.0,3.0,4.5
Chile,2019,3.276,15.43620607,0.859,7.50019,33.01233,5.7960982,1.36,3.98,0.24,37.94,24816.6,11.0,8.0,2.8,4.7
Chile,2020,3.349,16.5940904,0.849,7.14453,37.73972,4.8980212,1.18,4.08,0.23,39.64,23017.7,13.0,8.0,2.6,5.9
Chile,2021,3.387,16.5973593,0.856,7.14453,37.73972,4.9078279,1.04,3.28,0.21,48.67,25449.1,16.0,9.0,2.5,3.5
Colombia,2017,2.863,21.90516687,0.765,19.1068,36.80381,9.8048906,0.79,6.39,0.12,34.75,14334.9,42.0,13.0,4.5,24.8
Colombia,2018,2.893,21.8783383,0.766,18.5921,37.45435,9.5885649,0.72,6.23,0.09,187.9,14426.4,30.0,13.0,4.3,24.3
Colombia,2019,2.932,22.41956453,0.768,18.1042,39.7147,9.4397936,0.59,6.41,0.1,238.18,14616.1,32.0,12.0,4.6,25.4
Colombia,2020,3.08,23.44910863,0.756,17.2045,43.99135,9.1514759,0.65,7.39,0.1,203.54,13387.7,47.0,13.0,5.4,33.7
Colombia,2021,3.301,23.52222143,0.752,17.2045,43.99135,9.3708143,0.7,7.43,0.1,245.25,14648.6,40.0,15.0,6.3,31.3
Comoros,2017,,42.66902,0.571,47.61438,52.44411,27.94857,,31.9,0.09,184.61,3240.2,24.0,422.0,11.9,
Comoros,2018,,42.48150867,0.578,47.61438,52.44411,27.386036,,33.72,0.1,186.78,3294.8,20.0,233.0,11.6,
Comoros,2019,,42.30217833,0.584,47.61438,52.44411,26.848045,3.42,35.69,0.11,185.88,3290.7,20.0,192.0,11.7,
Comoros,2020,,42.046365,0.588,47.61438,52.44411,26.080605,,36.7,0.12,189.04,3222.4,19.0,257.0,11.6,
Comoros,2021,,41.879252,0.585,47.61438,52.44411,25.579266,,37.34,0.12,194.8,3228.5,16.0,296.0,11.9,
Congo,2017,3.343,32.946497,0.6,20.93222,55.11418,22.793091,1.0,7.42,0.22,176.89,4073.9,54.0,6.0,28.5,88.6
