Area,Year,Cost of a healthy diet (PPP dollar per person per day),Coefficient of human inequality,Human Development Index (value),Inequality in eduation,Inequality in income,Inequality in life expectancy,2.a.1 Agriculture share of Government Expenditure,2.a.1 Agriculture value added share of GDP,6.4.1 Water Use Efficiency (Agriculture (ISIC4 A01 A0210 A0322)),6.4.1 Water Use Efficiency (Industries),"Gross domestic product per capita, PPP, (constant 2017 international $)",Per capita food supply variability (kcal/cap/day),Value of food imports in total merchandise exports (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Percentage of the population unable to afford a healthy diet (percent)
Belgium,2018,2.962,8.0130258,0.933,8.11143,12.16008,3.7675674,0.15,0.6,1.12,24.24,51113.5,33.0,7.0,2.5,0.2
Belgium,2019,3.047,7.3532249,0.936,6.57677,11.80879,3.6741147,0.14,0.67,1.26,25.66,51977.2,31.0,7.0,2.5,0.2
Belgium,2020,3.159,7.023307867,0.93,5.87561,11.80684,3.3874736,0.14,0.75,1.43,22.11,48978.9,35.0,7.0,2.5,0.2
Belgium,2021,3.125,6.607067033,0.938,5.46312,10.776,3.5820811,0.14,0.66,1.34,23.57,51739.5,31.0,7.0,2.5,0.1
Luxembourg,2017,2.492,8.994191633,0.918,8.00315,15.68856,3.2908649,0.66,0.23,0.0,3856.0,114986.0,18.0,12.0,2.5,0.4
Luxembourg,2018,2.627,9.306945533,0.921,6.28973,17.85552,3.7755866,0.77,0.23,0.0,3348.02,114165.0,18.0,13.0,2.5,0.4
Luxembourg,2019,2.619,9.259768867,0.925,5.30058,18.56149,3.9172366,0.74,0.22,0.0,1585.27,114543.0,18.0,14.0,2.5,0.1
Luxembourg,2020,2.576,8.8283656,0.921,5.1559,17.39895,3.9302468,0.7,0.21,0.0,1483.59,111751.0,59.0,14.0,2.5,0.0
Luxembourg,2021,2.59,8.7577932,0.927,5.90098,16.50209,3.8703096,0.71,0.2,,,115684.0,58.0,15.0,2.5,0.0
Anguilla,2017,,,,,,,,,,,,,,,
Serbia,2017,4.07,10.58936307,0.802,8.13663,19.26656,4.3648992,2.24,6.01,0.17,2.2,16611.0,117.0,8.0,2.5,27.2
Serbia,2018,4.166,9.5455397,0.808,7.47189,16.89295,4.2717791,2.13,6.34,0.17,2.19,17452.8,97.0,7.0,2.5,13.1
Serbia,2019,4.334,9.338829333,0.812,9.64029,14.12835,4.247848,2.38,5.95,0.15,2.29,18306.8,22.0,8.0,2.5,16.2
Serbia,2020,4.268,8.2155069,0.806,7.19484,13.30019,4.1514907,2.08,6.34,0.17,2.33,18262.7,24.0,8.0,2.5,13.0
Serbia,2021,4.346,7.938020833,0.804,6.24719,13.45828,4.1085925,2.03,6.53,0.2,2.74,19827.8,40.0,9.0,2.5,10.9
Montenegro,2017,3.397,11.56397467,0.833,7.36696,24.16123,3.163734,1.24,6.85,3.98,7.54,19682.3,30.0,130.0,2.5,15.9
Montenegro,2018,3.428,11.5973601,0.838,7.81501,24.01756,2.9595103,0.93,6.73,4.11,7.88,20686.6,35.0,127.0,2.5,17.2
Montenegro,2019,3.644,11.0474898,0.841,7.81501,22.15848,3.1689794,1.23,6.39,4.06,8.67,21534.0,35.0,124.0,2.5,17.4
Montenegro,2020,3.511,10.30205773,0.832,7.81501,20.08265,3.0085132,1.19,7.55,4.06,7.58,18259.0,24.0,120.0,2.5,17.3
Montenegro,2021,3.673,10.00837967,0.84,7.81501,19.91681,2.293319,1.43,6.31,3.84,7.31,20598.8,39.0,119.0,2.5,14.9
Sudan,2017,3.674,36.344367,0.52,42.45021,39.33727,27.245621,,22.56,0.18,210.27,4614.0,37.0,72.0,10.6,88.4
Sudan,2018,3.921,36.16859633,0.52,42.45021,39.33727,26.718309,,18.53,0.15,293.43,4349.2,63.0,79.0,11.1,90.9
Sudan,2019,4.306,36.015158,0.521,42.45021,39.33727,26.257994,,20.21,0.17,269.22,4133.1,58.0,58.0,11.5,93.6
Sudan,2020,4.308,35.76123267,0.518,42.45021,39.33727,25.496218,,20.43,0.12,180.5,3874.8,42.0,62.0,11.3,94.1
Sudan,2021,3.081,35.59174033,0.516,42.45021,39.33727,24.987741,,19.72,0.28,461.82,3701.1,30.0,55.0,11.6,85.4
South Sudan,2017,,41.890454,0.378,39.55255,48.85379,37.265022,1.22,2.9,0.01,11.76,,,16.0,,
South Sudan,2018,,41.82404267,0.38,39.55255,48.85379,37.065788,0.3,2.74,0.01,13.01,,,22.0,,
South Sudan,2019,,41.842123,0.391,39.55255,48.85379,37.120029,0.26,3.67,0.02,14.17,,,23.0,,
South Sudan,2020,,41.78820367,0.386,39.55255,48.85379,36.958271,0.24,5.97,0.03,10.16,,,28.0,,
South Sudan,2021,,41.793477,0.381,39.55255,48.85379,36.974091,2.35,3.98,0.02,13.2,,,40.0,20.8,
CuraÃÂ§ao,2017,2.866,,,,,,,,,,,,,,
CuraÃÂ§ao,2018,2.988,,,,,,,,,,,,,,
CuraÃÂ§ao,2019,3.144,,,,,,,,,,,,,,
CuraÃÂ§ao,2020,3.236,,,,,,,,,,,,,,
CuraÃÂ§ao,2021,3.495,,,,,,,,,,,,,,
Sint Maarten (Dutch part),2017,4.462,,,,,,,,,,,,,,
Sint Maarten (Dutch part),2018,4.713,,,,,,,,,,,,,,
Sint Maarten (Dutch part),2019,4.835,,,,,,,,,,,,,,
Sint Maarten (Dutch part),2020,5.094,,,,,,,,,,,,,,
Sint Maarten (Dutch part),2021,5.273,,,,,,,,,,,,,,
Palestine,2017,3.342,18.054133,0.718,11.6704,31.44795,11.044049,0.8,7.04,5.84,83.33,6401.7,,47.0,,18.0
Palestine,2018,3.398,17.780188,0.722,10.975,31.44795,10.917614,0.89,7.36,5.82,87.62,6318.2,,48.0,,18.4
Palestine,2019,3.493,17.49369067,0.739,10.417,31.44795,10.616122,0.96,7.05,5.33,79.82,6245.4,,47.0,,18.0
Palestine,2020,3.356,17.29888233,0.715,10.1856,31.44795,10.263097,0.77,7.1,3.6,63.76,5402.5,,45.0,,20.0
Palestine,2021,3.285,17.29448233,0.715,10.1856,31.44795,10.249897,0.73,7.17,3.11,65.58,5643.1,,37.0,,15.4
China,2017,,16.4986273,0.757,11.6796,31.23166,6.5846219,8.02,7.77,1.67,38.15,14532.4,13.0,4.0,2.5,
China,2018,,16.076883,0.766,10.2931,31.73748,6.200069,7.76,7.35,1.84,43.34,15426.8,13.0,4.0,2.5,
China,2019,,15.61708613,0.775,10.2931,30.6945,5.8636584,7.59,7.46,1.94,44.81,16256.0,14.0,4.0,2.5,
China,2020,,15.4707191,0.781,10.2931,30.56138,5.5576773,7.09,8.03,2.2,53.58,16522.3,19.0,5.0,2.5,
China,2021,,15.2812796,0.785,10.2931,30.28756,5.2631788,6.54,7.59,2.51,66.99,17846.7,16.0,5.0,2.5,
"China, mainland",2017,2.571,,,,,,,,,,,,,,16.6
"China, mainland",2018,2.63,,,,,,,,,,,,,,13.6
"China, mainland",2019,2.792,,,,,,,,,,,,,,12.2
"China, mainland",2020,2.983,,,,,,,,,,,,,,15.9
"China, mainland",2021,2.96,,,,,,,,,,,,,,10.9
